TICKER_SYMBOL_IDENTIFIER,PRODUCT_TYPE
CPXZX,Mutual Funds
JMEEX,Mutual Funds
FJLSX,Mutual Funds
TWUAX,Mutual Funds
VMINX,Mutual Funds
INOIX,Mutual Funds
CAAPX,Mutual Funds
RCWHX,Mutual Funds
ASQAX,Mutual Funds
PGTIX,Mutual Funds
PNERX,Mutual Funds
MLPOX,Mutual Funds
PFGKX,Mutual Funds
MGFZX,Mutual Funds
GDFRX,Mutual Funds
FGHCX,Mutual Funds
FSPNX,Mutual Funds
TMAPX,Mutual Funds
VGSLX,Mutual Funds
SPSCX,Mutual Funds
OPTIX,Mutual Funds
PPARX,Mutual Funds
FDMIX,Mutual Funds
FANRX,Mutual Funds
LMCHX,Mutual Funds
BGSRX,Mutual Funds
GTTRX,Mutual Funds
NEZYX,Mutual Funds
JVVAX,Mutual Funds
SKSEX,Mutual Funds
JAVTX,Mutual Funds
IEGAX,Mutual Funds
MUEUX,Mutual Funds
AUXFX,Mutual Funds
MFEHX,Mutual Funds
OANLX,Mutual Funds
FAMHX,Mutual Funds
FCPAX,Mutual Funds
FSIRX,Mutual Funds
GDAFX,Mutual Funds
TILCX,Mutual Funds
JSEAX,Mutual Funds
DFVEX,Mutual Funds
MMUHX,Mutual Funds
FMSTX,Mutual Funds
CMNRX,Mutual Funds
NSSRX,Mutual Funds
DRIKX,Mutual Funds
CSEQX,Mutual Funds
HFCGX,Mutual Funds
RFNEX,Mutual Funds
FUBIX,Mutual Funds
FIRKX,Mutual Funds
LCRRX,Mutual Funds
MGGPX,Mutual Funds
GRMAX,Mutual Funds
JAAAX,Mutual Funds
UBVAX,Mutual Funds
CIPSX,Mutual Funds
JDYRX,Mutual Funds
FIIBX,Mutual Funds
SAPYX,Mutual Funds
ONUAX,Mutual Funds
WGROX,Mutual Funds
MIXIX,Mutual Funds
EROAX,Mutual Funds
AIGYX,Mutual Funds
FYATX,Mutual Funds
IGBIX,Mutual Funds
JALBX,Mutual Funds
AFRAX,Mutual Funds
SGTRX,Mutual Funds
NSEIX,Mutual Funds
FNIAX,Mutual Funds
BCSAX,Mutual Funds
FANIX,Mutual Funds
